Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2011,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2011,Feb. 2011,Mar. 2011,Apr. 2011,May 2011,Jun. 2011,Jul. 2011,Aug. 2011,Sep. 2011,Oct. 2011,Nov. 2011,Dec. 2011,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,29,173","3,30,472","3,79,291","3,73,236","3,84,166","3,80,687","3,77,062","3,86,763","3,67,426","3,71,870","3,83,551","4,43,079","45,06,776",,
,Retail sales and food services excl motor vehicle and parts,"2,72,599","2,69,461","3,05,875","3,05,242","3,16,411","3,12,069","3,09,406","3,17,013","3,01,873","3,07,308","3,20,872","3,73,432","37,11,561",,
,Retail sales and food services excl gasoline stations,"2,91,239","2,93,882","3,35,034","3,27,476","3,36,019","3,33,269","3,28,963","3,38,547","3,22,086","3,26,863","3,40,686","4,00,442","39,74,506",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,34,665","2,32,871","2,61,618","2,59,482","2,68,264","2,64,651","2,61,307","2,68,797","2,56,533","2,62,301","2,78,007","3,30,795","31,79,291",,
,"Retail sales, total","2,93,047","2,93,924","3,38,211","3,32,456","3,42,186","3,39,682","3,34,800","3,45,374","3,27,093","3,30,515","3,44,774","4,01,206","40,23,268",,
454,Nonstore retailers,"29,154","27,007","29,935","26,735","27,415","27,330","25,446","28,626","27,822","28,944","34,528","42,647","3,55,589",,
4541,Electronic shopping and mail-order houses,"21,884","20,348","23,439","21,595","22,747","22,709","21,282","23,997","23,040","23,679","28,775","36,384","2,89,879",,
45431,Fuel dealers,"5,315","4,635","4,030","2,887","2,408","2,243","2,060","2,335","2,558","3,023","3,436","4,043","38,973",,
722,Food services and drinking places,"36,126","36,548","41,080","40,780","41,980","41,005","42,262","41,389","40,333","41,355","38,777","41,873","4,83,508",,
7224,Drinking places,"1,431","1,484","1,676","1,611","1,609","1,579","1,679","1,577","1,582","1,602","1,501","1,569","18,900",,
7225,Restaurants and other eating places,"31,763","31,977","35,968","35,427","36,626","35,886","37,246","36,459","34,635","35,636","33,583","36,789","4,21,995",,
722511,Full service restaurants,"15,968","16,007","18,004","17,698","18,339","17,798","18,626","18,050","17,253","17,735","16,540","18,772","2,10,790",,
"722513, 722514, 722515",Limited service eating places,"15,795","15,970","17,964","17,729","18,287","18,088","18,620","18,409","17,382","17,901","17,043","18,017","2,11,205",,
,ADJUSTED(2),,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,64,394","3,67,475","3,70,775","3,72,820","3,72,505","3,75,587","3,75,442","3,75,860","3,80,042","3,82,207","3,83,422","3,83,985",,,
,Retail sales and food services excl motor vehicle and parts,"2,99,671","3,01,711","3,04,658","3,07,603","3,08,104","3,10,200","3,10,314","3,11,587","3,12,673","3,13,756","3,14,672","3,14,039",,,
,Retail sales and food services excl gasoline stations,"3,22,662","3,25,272","3,27,086","3,28,263","3,27,339","3,31,063","3,30,740","3,30,882","3,35,062","3,37,468","3,37,966","3,38,771",,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,57,939","2,59,508","2,60,969","2,63,046","2,62,938","2,65,676","2,65,612","2,66,609","2,67,693","2,69,017","2,69,216","2,68,825",,,
,"Retail sales, total","3,25,674","3,28,049","3,31,161","3,33,189","3,32,409","3,35,108","3,34,922","3,35,163","3,39,011","3,41,058","3,42,214","3,43,093",,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,60,951","2,62,285","2,65,044","2,67,972","2,68,008","2,69,721","2,69,794","2,70,890","2,71,642","2,72,607","2,73,464","2,73,147",,,
,GAFO(1),"92,507","93,713","94,201","94,940","94,306","95,380","94,910","95,034","96,068","95,713","95,940","95,809",,,
441,Motor vehicle and parts dealers,"64,723","65,764","66,117","65,217","64,401","65,387","65,128","64,273","67,369","68,451","68,750","69,946",,,
"4411,4412",Automobile and other motor vehicle dealers,"58,293","59,281","59,488","58,655","57,763","58,535","58,370","57,347","60,437","61,620","61,883","63,122",,,
4413,"Automotive parts, acc., and tire stores","6,430","6,483","6,629","6,562","6,638","6,852","6,758","6,926","6,932","6,831","6,867","6,824",,,
"442,443","Furniture, home furn, electronics, and appliance stores","14,893","15,176","15,537","15,509","15,305","15,320","15,497","15,599","15,525","15,754","15,682","15,664",,,
442,Furniture and home furnishings stores,"6,785","6,950","7,204","7,125","7,041","7,022","7,071","7,121","7,185","7,090","7,190","7,323",,,
443,Electronics and appliance stores,"8,108","8,226","8,333","8,384","8,264","8,298","8,426","8,478","8,340","8,664","8,492","8,341",,,
444,Building mat. and garden equip. and supplies dealers,"21,291","21,012","21,662","21,872","22,101","22,536","22,565","22,549","22,462","23,053","22,732","23,281",,,
4441,Building mat. and supplies dealers,"18,477","18,175","18,795","19,021","19,091","19,431","19,630","19,535","19,453","19,775","19,528","19,973",,,
445,Food and beverage stores,"48,973","49,396","49,413","50,160","49,743","50,254","50,300","50,487","50,463","50,589","50,686","50,599",,,
4451,Grocery stores,"44,329","44,644","44,748","45,439","45,034","45,456","45,506","45,700","45,606","45,679","45,821","45,766",,,
4453,"Beer, wine and liquor stores","3,303","3,370","3,345","3,327","3,322","3,385","3,384","3,394","3,445","3,427","3,444","3,420",,,
446,Health and personal care stores,"22,421","22,169","22,275","22,162","22,327","22,323","22,442","22,543","22,444","22,569","22,484","22,422",,,
