Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2015,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2015,Feb. 2015,Mar. 2015,Apr. 2015,May 2015,Jun. 2015,Jul. 2015,Aug. 2015,Sep. 2015,Oct. 2015,Nov. 2015,Dec. 2015,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,91,738","3,81,513","4,38,118","4,31,604","4,56,436","4,41,657","4,51,579","4,49,793","4,24,822","4,38,395","4,37,204","5,06,151","52,49,010",
,Retail sales and food services excl motor vehicle and parts,"3,14,015","3,02,889","3,42,583","3,38,765","3,59,742","3,47,748","3,54,414","3,52,413","3,34,499","3,48,445","3,53,463","4,13,296","41,62,272",
,Retail sales and food services excl gasoline stations,"3,58,677","3,49,308","4,00,608","3,93,765","4,14,302","3,98,904","4,07,712","4,07,869","3,87,246","4,00,380","4,03,240","4,72,586","47,94,597",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,80,954","2,70,684","3,05,073","3,00,926","3,17,608","3,04,995","3,10,547","3,10,489","2,96,923","3,10,430","3,19,499","3,79,731","37,07,859",
,"Retail sales, total","3,44,632","3,35,752","3,85,954","3,80,319","4,02,126","3,90,651","3,99,519","3,97,745","3,75,199","3,85,581","3,88,071","4,52,764","46,38,313",
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,66,909","2,57,128","2,90,419","2,87,480","3,05,432","2,96,742","3,02,354","3,00,365","2,84,876","2,95,631","3,04,330","3,59,909","35,51,575",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"3,04,621","3,03,685","3,05,722","3,06,576","3,07,747","3,07,491","3,10,556","3,10,909","3,10,811","3,10,773","3,11,761","3,14,147",,
,"Retail sales, total","3,78,518","3,77,594","3,83,681","3,83,893","3,87,155","3,87,199","3,90,953","3,90,570","3,88,551","3,87,066","3,88,530","3,89,551",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,91,462","2,91,915","2,94,032","2,93,687","2,96,231","2,96,435","2,99,775","2,98,738","2,96,298","2,95,629","2,96,005","2,97,333",,
,GAFO(1),"1,03,383","1,02,840","1,03,173","1,03,439","1,04,266","1,03,726","1,04,364","1,04,444","1,04,182","1,03,804","1,03,919","1,04,705",,
441,Motor vehicle and parts dealers,"87,056","85,679","89,649","90,206","90,924","90,764","91,178","91,832","92,253","91,437","92,525","92,218",,
"4411,4412",Automobile and other motor vehicle dealers,"79,976","78,495","82,405","82,850","83,543","83,298","83,655","84,417","84,872","84,056","85,008","84,768",,
4413,"Automotive parts, acc., and tire stores","7,080","7,184","7,244","7,356","7,381","7,466","7,523","7,415","7,381","7,381","7,517","7,450",,
"442,443","Furniture, home furn, electronics, and appliance stores","16,990","16,680","16,703","16,950","17,183","17,082","17,093","17,103","17,123","17,117","17,052","17,168",,
442,Furniture and home furnishings stores,"8,485","8,304","8,546","8,661","8,856","8,688","8,853","8,861","8,868","8,963","8,950","9,161",,
443,Electronics and appliance stores,"8,505","8,376","8,157","8,289","8,327","8,394","8,240","8,242","8,255","8,154","8,102","8,007",,
444,Building mat. and garden equip. and supplies dealers,"26,312","25,376","26,305","26,563","26,619","26,331","27,215","27,209","27,029","27,176","27,437","27,988",,
